subs,var,type,type_data,id
S01,S1_M1_B39_Li_01_39_CB_ctrl,Int16,cb_ctrl,29
S01,S1_M1_B39_Li_01_39_CB_res,Int16,cb_res,30
S01,S1_M1_B39_Li_01_39_I_res,Float,i_res,31
S01,S1_M1_B39_Li_01_39_P_res,Float,p_res,32
S01,S1_M1_B39_Li_01_39_Q_res,Float,q_res,33
S01,S1_M1_B39_Li_09_39_V_res,Float,v_res,34
S01,S1_M2_B39_Li_01_39_V_res,Float,v_res,35
S01,S1_M2_B39_Li_09_39_CB_ctrl,Int16,cb_ctrl,36
S01,S1_M2_B39_Li_09_39_CB_res,Int16,cb_res,37
S01,S1_M2_B39_Li_09_39_I_res,Float,i_res,38
S01,S1_M2_B39_Li_09_39_P_res,Float,p_res,39
S01,S1_M2_B39_Li_09_39_Q_res,Float,q_res,40
S01,S1_M3_B39_Ld39_CB_ctrl,Int16,cb_ctrl,41
S01,S1_M3_B39_Ld39_CB_res,Int16,cb_res,42
S01,S1_M3_B39_Ld39_P_res,Float,p_res,43
S01,S1_M3_B39_Ld39_Q_res,Float,q_res,44
S01,S1_M3_B39_Ld39_V_res,Float,v_res,45
S01,S1_M4_B39_G1_CB_ctrl,Int16,cb_ctrl,46
S01,S1_M4_B39_G1_CB_res,Int16,cb_res,47
S01,S1_M4_B39_G1_f_res,Float,f_res,48
S01,S1_M4_B39_G1_Ld_res,Float,ld_res,49
S01,S1_M4_B39_G1_P_ctrl,Float,p_ctrl,50
S01,S1_M4_B39_G1_P_res,Float,p_res,51
S01,S1_M4_B39_G1_Q_res,Float,q_res,52
S01,S1_M4_B39_G1_V_ctrl,Float,v_ctrl,53
S01,S1_M4_B39_G1_V_res,Float,v_res,54
S02,S2_M1_B02_Li_02_01_CB_ctrl,Int16,cb_ctrl,55
S02,S2_M1_B02_Li_02_01_CB_res,Int16,cb_res,56
S02,S2_M1_B02_Li_02_01_I_res,Float,i_res,57
S02,S2_M1_B02_Li_02_01_P_res,Float,p_res,58
S02,S2_M1_B02_Li_02_01_Q_res,Float,q_res,59
S02,S2_M1_B02_Li_02_01_V_res,Float,v_res,60
S02,S2_M2_B02_Li_02_03_CB_ctrl,Int16,cb_ctrl,61
S02,S2_M2_B02_Li_02_03_CB_res,Int16,cb_res,62
S02,S2_M2_B02_Li_02_03_I_res,Float,i_res,63
S02,S2_M2_B02_Li_02_03_P_res,Float,p_res,64
S02,S2_M2_B02_Li_02_03_Q_res,Float,q_res,65
S02,S2_M2_B02_Li_02_03_V_res,Float,v_res,66
S02,S2_M3_B02_Li_02_25_CB_ctrl,Int16,cb_ctrl,67
S02,S2_M3_B02_Li_02_25_CB_res,Int16,cb_res,68
S02,S2_M3_B02_Li_02_25_I_res,Float,i_res,69
S02,S2_M3_B02_Li_02_25_P_res,Float,p_res,70
S02,S2_M3_B02_Li_02_25_Q_res,Float,q_res,71
S02,S2_M3_B02_Li_02_25_V_res,Float,v_res,72
S02,S2_M4_B02_TR_CB_ctrl,Int16,cb_ctrl,73
S02,S2_M4_B02_TR_CB_res,Int16,cb_res,74
S02,S2_M4_B02_TR_f_res,Float,f_res,75
S02,S2_M4_B02_TR_tap,Int16,tap,76
S02,S2_M4_B02_TR_tap_ctrl,Int16,tap_ctrl,77
S02,S2_M4_B02_TR_tap_Ld_res,Float,tap_ld_res,78
S02,S2_M4_B02_TR_tap_mode,Int16,tap_mode,79
S02,S2_M4_B02_TR_tap_res,Int16,tap_res,80
S02,S2_M4_B02_TR_V_res,Float,v_res,81
S02,S2_M5_B30_TR_CB_ctrl,Int16,cb_ctrl,82
S02,S2_M5_B30_TR_CB_res,Int16,cb_res,83
S02,S2_M6_B30_G10_CB_ctrl,Int16,cb_ctrl,84
S02,S2_M6_B30_G10_CB_res,Int16,cb_res,85
S02,S2_M6_B30_G10_f_res,Float,f_res,86
S02,S2_M6_B30_G10_Ld_res,Float,ld_res,87
S02,S2_M6_B30_G10_P_ctrl,Float,p_ctrl,88
S02,S2_M6_B30_G10_P_res,Float,p_res,89
S02,S2_M6_B30_G10_Q_res,Float,q_res,90
S02,S2_M6_B30_G10_V_ctrl,Float,v_ctrl,91
S02,S2_M6_B30_G10_V_res,Float,v_res,92
S03,S3_M1_B25_Li_02_25_CB_ctrl,Int16,cb_ctrl,93
S03,S3_M1_B25_Li_02_25_CB_res,Int16,cb_res,94
S03,S3_M1_B25_Li_02_25_I_res,Float,i_res,95
S03,S3_M1_B25_Li_02_25_P_res,Float,p_res,96
S03,S3_M1_B25_Li_02_25_Q_res,Float,q_res,97
S03,S3_M1_B25_Li_02_25_V_res,Float,v_res,98
S03,S3_M2_B25_Ld25_CB_ctrl,Int16,cb_ctrl,99
S03,S3_M2_B25_Ld25_CB_res,Int16,cb_res,100
S03,S3_M2_B25_Ld25_P_res,Float,p_res,101
S03,S3_M2_B25_Ld25_Q_res,Float,q_res,102
S03,S3_M2_B25_Ld25_V_res,Float,v_res,103
S03,S3_M3_B25_Tr_CB_ctrl,Int16,cb_ctrl,104
S03,S3_M3_B25_Tr_CB_res,Int16,cb_res,105
S03,S3_M3_B25_Tr_f_res,Float,f_res,106
S03,S3_M3_B25_Tr_hv_P_res,Float,p_res,107
S03,S3_M3_B25_Tr_hv_Q_res,Float,q_res,108
S03,S3_M3_B25_Tr_Ld_res,Float,ld_res,109
S03,S3_M3_B25_Tr_lv_P_res,Float,p_res,110
S03,S3_M3_B25_Tr_lv_Q_res,Float,q_res,111
S03,S3_M3_B25_Tr_tap,Int16,tap,112
S03,S3_M3_B25_Tr_tap_ctrl,Int16,tap_ctrl,113
S03,S3_M3_B25_Tr_tap_mode,Int16,tap_mode,114
S03,S3_M3_B25_Tr_tap_res,Int16,tap_res,115
S03,S3_M3_B25_Tr_V_res,Float,v_res,116
S03,S3_M4_B25_Li_25_26_CB_ctrl,Int16,cb_ctrl,117
S03,S3_M4_B25_Li_25_26_CB_res,Int16,cb_res,118
S03,S3_M4_B25_Li_25_26_I_res,Float,i_res,119
S03,S3_M4_B25_Li_25_26_P_res,Float,p_res,120
S03,S3_M4_B25_Li_25_26_Q_res,Float,q_res,121
S03,S3_M4_B25_Li_25_26_V_res,Float,v_res,122
S03,S3_M5_B37_Tr_CB_ctrl,Int16,cb_ctrl,123
S03,S3_M5_B37_Tr_CB_res,Int16,cb_res,124
S03,S3_M6_B37_G8_CB_ctrl,Int16,cb_ctrl,125
S03,S3_M6_B37_G8_CB_res,Int16,cb_res,126
S03,S3_M6_B37_G8_f_res,Float,f_res,127
S03,S3_M6_B37_G8_Ld_res,Float,ld_res,128
S03,S3_M6_B37_G8_P_ctrl,Float,p_ctrl,129
S03,S3_M6_B37_G8_P_res,Float,p_res,130
S03,S3_M6_B37_G8_Q_res,Float,q_res,131
S03,S3_M6_B37_G8_V_ctrl,Float,v_ctrl,132
S03,S3_M6_B37_G8_V_res,Float,v_res,133
S04,S04_M1_B29_Li_26_29_CB_ctrl,Int16,cb_ctrl,134
S04,S04_M1_B29_Li_26_29_CB_res,Int16,cb_res,135
S04,S04_M1_B29_Li_26_29_I_res,Float,i_res,136
S04,S04_M1_B29_Li_26_29_P_res,Float,p_res,137
S04,S04_M1_B29_Li_26_29_Q_res,Float,q_res,138
S04,S04_M1_B29_Li_26_29_V_res,Float,v_res,139
S04,S04_M2_B29_Li_28_29_CB_ctrl,Int16,cb_ctrl,140
S04,S04_M2_B29_Li_28_29_CB_res,Int16,cb_res,141
S04,S04_M2_B29_Li_28_29_I_res,Float,i_res,142
S04,S04_M2_B29_Li_28_29_P_res,Float,p_res,143
S04,S04_M2_B29_Li_28_29_Q_res,Float,q_res,144
